0.001,-0.079,-0.078,2.516,-0.670,1.116,621784694.000
-0.001,-0.080,-0.075,2.521,-0.649,1.125,621784795.000
-0.001,-0.077,-0.075,2.523,-0.673,1.134,621784894.000
0.001,-0.079,-0.070,2.529,-0.645,1.116,621784994.000
0.001,-0.081,-0.078,2.514,-0.645,1.135,621785094.000
0.003,-0.077,-0.075,2.537,-0.674,1.107,621785195.000
0.003,-0.077,-0.075,2.524,-0.650,1.135,621785295.000
0.001,-0.079,-0.073,2.515,-0.653,1.116,621785394.000
-0.001,-0.072,-0.073,2.540,-0.665,1.153,621785494.000
-0.004,-0.076,-0.073,2.516,-0.604,1.125,621785594.000
0.001,-0.076,-0.075,2.517,-0.662,1.125,621785694.000
0.003,-0.080,-0.075,2.481,-0.650,1.153,621785795.000
0.003,-0.072,-0.078,2.554,-0.634,1.126,621785894.000
0.003,-0.080,-0.075,2.508,-0.650,1.126,621785995.000
0.001,-0.076,-0.075,2.531,-0.637,1.126,621786094.000
0.003,-0.080,-0.073,2.522,-0.641,1.126,621786194.000
0.001,-0.076,-0.070,2.530,-0.669,1.125,621786294.000
-0.001,-0.080,-0.080,2.508,-0.641,1.098,621786394.000
-0.006,-0.078,-0.078,2.536,-0.607,1.107,621786495.000
0.001,-0.076,-0.078,2.558,-0.621,1.126,621786594.000
-0.001,-0.077,-0.073,2.509,-0.616,1.135,621786695.000
0.001,-0.076,-0.075,2.531,-0.637,1.126,621786794.000
0.003,-0.077,-0.078,2.565,-0.658,1.135,621786895.000
0.001,-0.076,-0.070,2.530,-0.621,1.126,621786995.000
0.001,-0.074,-0.078,2.573,-0.621,1.107,621787094.000
0.003,-0.080,-0.073,2.522,-0.641,1.126,621787195.000
0.001,-0.076,-0.080,2.545,-0.629,1.126,621787294.000
0.003,-0.077,-0.078,2.551,-0.634,1.135,621787395.000
0.001,-0.076,-0.078,2.545,-0.645,1.126,621787494.000
-0.001,-0.083,-0.073,2.492,-0.640,1.116,621787594.000
-0.001,-0.075,-0.080,2.566,-0.689,1.116,621787694.000
-0.005,-0.075,-0.073,2.537,-0.712,1.142,621787794.000
-0.005,-0.070,-0.073,2.554,-0.785,1.132,621787895.000
-0.007,-0.073,-0.078,2.503,-0.837,1.132,621787995.000
-0.005,-0.072,-0.075,2.525,-0.890,1.150,621788094.000
-0.007,-0.073,-0.085,2.476,-0.935,1.130,621788195.000
-0.007,-0.070,-0.068,2.491,-0.999,1.167,621788294.000
-0.009,-0.072,-0.073,2.442,-1.076,1.175,621788394.000
-0.013,-0.069,-0.081,2.443,-1.124,1.155,621788495.000
-0.013,-0.066,-0.081,2.486,-1.220,1.164,621788594.000
-0.019,-0.065,-0.078,2.437,-1.247,1.153,621788693.000
-0.017,-0.064,-0.078,2.445,-1.309,1.171,621788795.000
-0.018,-0.062,-0.081,2.439,-1.401,1.189,621788894.000
-0.021,-0.066,-0.073,2.401,-1.461,1.188,621788995.000
-0.025,-0.056,-0.073,2.448,-1.508,1.196,621789095.000
-0.027,-0.059,-0.081,2.397,-1.593,1.195,621789193.000
-0.026,-0.057,-0.074,2.370,-1.666,1.175,621789295.000
-0.028,-0.053,-0.074,2.421,-1.750,1.202,621789395.000
-0.030,-0.054,-0.076,2.358,-1.819,1.210,621789493.000
-0.032,-0.053,-0.071,2.351,-1.911,1.227,621789596.000
-0.036,-0.053,-0.079,2.337,-1.959,1.199,621789695.000
-0.038,-0.051,-0.076,2.317,-2.059,1.216,621789795.000
-0.040,-0.050,-0.081,2.324,-2.160,1.205,621789895.000
-0.042,-0.043,-0.076,2.334,-2.228,1.241,621789995.000
-0.044,-0.047,-0.072,2.297,-2.320,1.240,621790095.000
-0.046,-0.038,-0.077,2.323,-2.422,1.257,621790195.000
-0.048,-0.034,-0.074,2.317,-2.522,1.256,621790294.000
-0.047,-0.039,-0.072,2.287,-2.635,1.264,621790395.000
-0.054,-0.035,-0.067,2.280,-2.726,1.262,621790494.000
-0.055,-0.039,-0.069,2.244,-2.819,1.261,621790594.000
-0.059,-0.033,-0.069,2.260,-2.915,1.278,621790694.000
-0.063,-0.031,-0.067,2.247,-3.002,1.286,621790795.000
-0.065,-0.029,-0.070,2.213,-3.095,1.303,621790895.000
-0.067,-0.028,-0.067,2.234,-3.220,1.292,621790994.000
-0.069,-0.026,-0.070,2.214,-3.337,1.309,621791095.000
-0.073,-0.021,-0.062,2.229,-3.432,1.326,621791195.000
-0.075,-0.022,-0.072,2.181,-3.526,1.334,621791295.000
-0.077,-0.018,-0.075,2.189,-3.667,1.305,621791395.000
-0.081,-0.018,-0.073,2.147,-3.731,1.331,621791495.000
-0.085,-0.016,-0.070,2.162,-3.818,1.339,621791594.000
-0.087,-0.011,-0.065,2.143,-3.959,1.365,621791694.000
-0.088,-0.010,-0.065,2.136,-4.068,1.382,621791794.000
-0.095,-0.006,-0.073,2.131,-4.176,1.380,621791894.000
-0.094,-0.011,-0.058,2.071,-4.320,1.360,621791995.000
-0.094,-0.006,-0.068,2.034,-4.427,1.377,621792094.000
-0.100,-0.002,-0.071,2.042,-4.494,1.375,621792194.000
-0.104,0.001,-0.063,2.015,-4.590,1.411,621792294.000
-0.108,0.001,-0.068,2.001,-4.702,1.409,621792394.000
-0.108,0.006,-0.068,1.990,-4.824,1.398,621792495.000
-0.110,0.005,-0.066,1.968,-4.949,1.434,621792594.000
-0.116,0.004,-0.071,1.946,-5.048,1.413,621792695.000
-0.118,0.005,-0.066,1.925,-5.116,1.431,621792794.000
-0.117,0.008,-0.066,1.913,-5.262,1.439,621792895.000
-0.124,0.015,-0.061,1.895,-5.353,1.446,621792994.000
-0.123,0.020,-0.066,1.925,-5.467,1.436,621793094.000
-0.127,0.018,-0.064,1.868,-5.531,1.453,621793194.000
-0.129,0.024,-0.066,1.864,-5.624,1.460,621793295.000
-0.133,0.022,-0.064,1.848,-5.711,1.450,621793394.000
-0.137,0.024,-0.057,1.807,-5.783,1.485,621793494.000
-0.133,0.027,-0.062,1.810,-5.946,1.494,621793594.000
-0.139,0.029,-0.064,1.776,-5.965,1.510,621793694.000
-0.139,0.034,-0.062,1.764,-6.103,1.500,621793794.000
-0.143,0.031,-0.062,1.734,-6.199,1.489,621793894.000
-0.147,0.037,-0.067,1.737,-6.287,1.506,621793995.000
-0.149,0.038,-0.065,1.716,-6.339,1.496,621794094.000
-0.153,0.038,-0.065,1.661,-6.411,1.522,621794195.000
-0.155,0.040,-0.062,1.640,-6.512,1.511,621794295.000
-0.152,0.041,-0.065,1.620,-6.606,1.501,621794395.000
-0.161,0.044,-0.065,1.594,-6.628,1.536,621794495.000
-0.158,0.053,-0.062,1.619,-6.754,1.526,621794595.000
-0.160,0.049,-0.065,1.568,-6.823,1.525,621794695.000
-0.164,0.049,-0.067,1.554,-6.903,1.524,621794794.000
-0.164,0.057,-0.070,1.558,-7.008,1.523,621794895.000
-0.164,0.052,-0.068,1.500,-7.073,1.531,621794994.000
-0.168,0.057,-0.065,1.502,-7.161,1.520,621795095.000
-0.176,0.055,-0.065,1.445,-7.183,1.565,621795195.000
-0.170,0.059,-0.060,1.440,-7.302,1.564,621795294.000
-0.172,0.060,-0.068,1.407,-7.363,1.554,621795395.000
-0.173,0.064,-0.058,1.401,-7.463,1.580,621795494.000
-0.175,0.063,-0.058,1.352,-7.523,1.561,621795595.000
-0.180,0.068,-0.061,1.340,-7.555,1.578,621795695.000
-0.179,0.071,-0.063,1.355,-7.636,1.559,621795794.000
-0.179,0.071,-0.061,1.314,-7.725,1.585,621795895.000
-0.183,0.068,-0.063,1.285,-7.757,1.575,621795995.000
-0.181,0.078,-0.063,1.297,-7.842,1.593,621796094.000
-0.187,0.074,-0.058,1.231,-7.909,1.591,621796195.000
-0.185,0.080,-0.061,1.242,-7.955,1.572,621796295.000
-0.189,0.083,-0.058,1.215,-8.018,1.580,621796394.000
-0.187,0.082,-0.061,1.152,-8.113,1.561,621796495.000
-0.193,0.081,-0.056,1.158,-8.131,1.597,621796594.000
-0.193,0.091,-0.054,1.177,-8.220,1.605,621796695.000
-0.195,0.085,-0.056,1.125,-8.264,1.623,621796794.000
-0.199,0.087,-0.056,1.099,-8.312,1.630,621796894.000
-0.201,0.089,-0.059,1.064,-8.356,1.593,621796995.000
