0.059,-0.101,-0.137,2.651,1.897,0.530,524613851.000
0.055,-0.104,-0.144,2.622,1.946,0.492,524613951.000
0.055,-0.104,-0.137,2.636,1.923,0.520,524614051.000
0.055,-0.101,-0.137,2.651,1.923,0.529,524614150.000
0.059,-0.104,-0.135,2.623,1.905,0.548,524614251.000
0.055,-0.104,-0.140,2.622,1.914,0.520,524614351.000
0.057,-0.100,-0.137,2.617,1.934,0.520,524614451.000
0.052,-0.100,-0.132,2.672,1.928,0.547,524614551.000
0.052,-0.105,-0.142,2.614,1.943,0.529,524614650.000
0.052,-0.105,-0.135,2.627,1.919,0.501,524614750.000
0.055,-0.101,-0.144,2.637,1.946,0.502,524614851.000
0.054,-0.101,-0.132,2.664,1.964,0.530,524614950.000
0.052,-0.107,-0.142,2.613,1.919,0.547,524615050.000
0.057,-0.102,-0.132,2.657,1.902,0.539,524615151.000
0.057,-0.105,-0.144,2.629,1.909,0.529,524615250.000
0.055,-0.104,-0.134,2.677,1.931,0.520,524615350.000
0.057,-0.102,-0.137,2.671,1.910,0.539,524615451.000
0.059,-0.101,-0.137,2.679,1.897,0.530,524615551.000
0.057,-0.102,-0.140,2.658,1.902,0.539,524615651.000
0.057,-0.105,-0.137,2.642,1.934,0.530,524615751.000
0.057,-0.100,-0.140,2.673,1.902,0.548,524615851.000
0.057,-0.102,-0.142,2.644,1.893,0.538,524615950.000
0.057,-0.100,-0.139,2.645,1.901,0.520,524616051.000
0.055,-0.101,-0.149,2.638,1.929,0.529,524616151.000
0.052,-0.100,-0.135,2.686,1.920,0.548,524616251.000
0.057,-0.100,-0.137,2.659,1.910,0.520,524616352.000
0.052,-0.102,-0.142,2.616,1.918,0.538,524616451.000
0.057,-0.100,-0.139,2.645,1.901,0.520,524616551.000
0.057,-0.102,-0.137,2.643,1.910,0.511,524616651.000
0.057,-0.100,-0.144,2.659,1.909,0.520,524616751.000
0.055,-0.104,-0.137,2.636,1.923,0.520,524616852.000
0.057,-0.105,-0.135,2.642,1.870,0.529,524616951.000
0.057,-0.105,-0.149,2.616,1.917,0.529,524617052.000
0.055,-0.101,-0.137,2.651,1.923,0.529,524617152.000
0.055,-0.101,-0.139,2.665,1.914,0.529,524617252.000
0.057,-0.105,-0.130,2.655,1.911,0.530,524617352.000
0.055,-0.104,-0.137,2.636,1.923,0.548,524617451.000
0.057,-0.102,-0.130,2.643,1.911,0.511,524617552.000
0.052,-0.097,-0.142,2.674,1.919,0.529,524617652.000
0.057,-0.102,-0.135,2.630,1.918,0.539,524617751.000
0.054,-0.098,-0.135,2.694,1.955,0.539,524617851.000
0.057,-0.102,-0.137,2.644,1.910,0.539,524617952.000
0.057,-0.105,-0.137,2.629,1.910,0.557,524618052.000
0.052,-0.100,-0.140,2.659,1.951,0.547,524618151.000
0.055,-0.104,-0.142,2.664,1.906,0.520,524618252.000
0.057,-0.107,-0.135,2.627,1.918,0.548,524618352.000
0.055,-0.104,-0.137,2.663,1.923,0.520,524618452.000
0.057,-0.102,-0.139,2.671,1.926,0.539,524618552.000
0.052,-0.105,-0.142,2.642,1.943,0.557,524618652.000
0.055,-0.104,-0.137,2.649,1.899,0.520,524618752.000
0.057,-0.100,-0.140,2.673,1.902,0.548,524618852.000
0.055,-0.104,-0.142,2.650,1.930,0.520,524618952.000
0.057,-0.105,-0.135,2.642,1.918,0.530,524619052.000
0.055,-0.101,-0.142,2.665,1.930,0.529,524619152.000
0.059,-0.104,-0.137,2.637,1.897,0.548,524619251.000
0.059,-0.104,-0.139,2.636,1.913,0.521,524619352.000
0.057,-0.102,-0.134,2.643,1.894,0.511,524619451.000
0.055,-0.106,-0.140,2.621,1.938,0.539,524619551.000
0.055,-0.106,-0.144,2.635,1.946,0.511,524619652.000
0.050,-0.104,-0.140,2.663,1.964,0.520,524619751.000
0.057,-0.100,-0.142,2.645,1.917,0.520,524619851.000
0.057,-0.105,-0.135,2.642,1.918,0.557,524619951.000
0.055,-0.101,-0.142,2.665,1.930,0.529,524620051.000
0.055,-0.101,-0.137,2.665,1.898,0.529,524620152.000
0.052,-0.102,-0.137,2.643,1.935,0.538,524620252.000
0.055,-0.101,-0.135,2.664,1.931,0.529,524620352.000
0.059,-0.104,-0.135,2.650,1.906,0.548,524620451.000
0.057,-0.100,-0.135,2.673,1.918,0.548,524620551.000
0.057,-0.102,-0.137,2.671,1.910,0.511,524620652.000
0.057,-0.102,-0.142,2.630,1.917,0.511,524620751.000
0.052,-0.105,-0.140,2.642,1.927,0.529,524620852.000
0.055,-0.101,-0.140,2.637,1.914,0.529,524620952.000
0.057,-0.100,-0.137,2.659,1.910,0.520,524621051.000
