0.061,-0.084,-0.137,2.363,1.930,0.435,532919535.000
0.061,-0.087,-0.132,2.375,1.898,0.425,532919636.000
0.059,-0.091,-0.134,2.380,1.927,0.426,532919736.000
0.061,-0.089,-0.132,2.332,1.946,0.416,532919835.000
0.055,-0.086,-0.132,2.381,1.936,0.416,532919935.000
0.059,-0.083,-0.132,2.397,1.911,0.425,532920036.000
0.055,-0.088,-0.137,2.353,1.992,0.434,532920135.000
0.059,-0.088,-0.137,2.340,1.942,0.434,532920236.000
0.059,-0.091,-0.137,2.353,1.942,0.453,532920335.000
0.059,-0.085,-0.132,2.382,1.911,0.444,532920435.000
0.057,-0.084,-0.132,2.376,1.948,0.434,532920535.000
0.057,-0.087,-0.132,2.360,1.948,0.425,532920636.000
0.059,-0.088,-0.142,2.354,1.950,0.462,532920735.000
0.057,-0.087,-0.130,2.360,1.932,0.425,532920836.000
0.059,-0.083,-0.139,2.384,1.934,0.425,532920936.000
0.059,-0.085,-0.140,2.369,1.934,0.444,532921036.000
0.059,-0.088,-0.139,2.354,1.934,0.434,532921136.000
0.061,-0.084,-0.144,2.391,1.929,0.435,532921236.000
0.057,-0.084,-0.139,2.362,1.923,0.406,532921336.000
0.059,-0.085,-0.132,2.396,1.935,0.444,532921436.000
0.057,-0.089,-0.137,2.373,1.931,0.444,532921537.000
0.059,-0.088,-0.137,2.368,1.942,0.462,532921637.000
0.059,-0.086,-0.139,2.383,1.959,0.416,532921736.000
0.059,-0.083,-0.142,2.385,1.950,0.453,532921836.000
0.055,-0.088,-0.140,2.381,1.960,0.434,532921937.000
0.059,-0.088,-0.144,2.354,1.917,0.434,532922037.000
0.059,-0.085,-0.140,2.355,1.958,0.444,532922136.000
0.059,-0.088,-0.137,2.367,1.943,0.435,532922237.000
0.061,-0.089,-0.142,2.361,1.913,0.444,532922337.000
0.057,-0.087,-0.135,2.361,1.915,0.425,532922436.000
0.059,-0.086,-0.144,2.369,1.918,0.416,532922537.000
0.055,-0.091,-0.135,2.338,1.976,0.453,532922636.000
0.061,-0.087,-0.144,2.348,1.880,0.425,532922737.000
0.061,-0.089,-0.137,2.360,1.930,0.444,532922836.000
0.057,-0.089,-0.142,2.360,1.939,0.444,532922936.000
0.059,-0.085,-0.137,2.383,1.942,0.444,532923037.000
0.061,-0.082,-0.139,2.392,1.921,0.416,532923137.000
0.059,-0.091,-0.139,2.339,1.934,0.425,532923236.000
0.057,-0.087,-0.139,2.389,1.947,0.425,532923337.000
0.061,-0.089,-0.140,2.319,1.921,0.444,532923436.000
0.059,-0.086,-0.142,2.383,1.926,0.416,532923536.000
0.059,-0.083,-0.139,2.412,1.934,0.425,532923637.000
0.059,-0.088,-0.140,2.340,1.910,0.434,532923737.000
0.059,-0.091,-0.139,2.352,1.910,0.425,532923837.000
0.061,-0.084,-0.137,2.377,1.954,0.463,532923936.000
0.059,-0.088,-0.135,2.340,1.926,0.434,532924036.000
0.057,-0.087,-0.137,2.375,1.955,0.425,532924136.000
0.059,-0.093,-0.135,2.337,1.927,0.444,532924237.000
0.059,-0.091,-0.139,2.352,1.910,0.425,532924337.000
0.061,-0.087,-0.137,2.375,1.930,0.426,532924437.000
0.061,-0.089,-0.137,2.360,1.930,0.444,532924537.000
0.057,-0.087,-0.134,2.388,1.964,0.425,532924636.000
0.057,-0.087,-0.142,2.389,1.963,0.425,532924736.000
0.059,-0.088,-0.139,2.381,1.934,0.435,532924836.000
0.059,-0.091,-0.142,2.353,1.926,0.425,532924937.000
0.059,-0.088,-0.137,2.395,1.943,0.435,532925037.000
0.059,-0.085,-0.134,2.410,1.927,0.444,532925137.000
0.057,-0.084,-0.132,2.431,1.948,0.462,532925236.000
0.059,-0.088,-0.137,2.395,1.943,0.435,532925337.000
0.061,-0.087,-0.132,2.402,1.947,0.426,532925436.000
0.057,-0.089,-0.140,2.374,1.947,0.444,532925536.000
0.059,-0.091,-0.142,2.353,1.926,0.425,532925636.000
0.059,-0.091,-0.134,2.380,1.927,0.426,532925736.000
0.055,-0.088,-0.144,2.395,1.919,0.434,532925836.000
0.059,-0.086,-0.137,2.410,1.943,0.444,532925937.000
0.057,-0.090,-0.142,2.415,1.939,0.416,532926037.000
0.059,-0.088,-0.134,2.409,1.951,0.435,532926137.000
0.059,-0.085,-0.127,2.410,1.928,0.444,532926236.000
0.059,-0.091,-0.134,2.380,1.927,0.426,532926336.000
0.061,-0.087,-0.134,2.403,1.914,0.426,532926435.000
0.057,-0.089,-0.137,2.387,1.955,0.444,532926536.000
0.057,-0.087,-0.142,2.430,1.939,0.426,532926636.000
0.059,-0.088,-0.142,2.409,1.951,0.407,532926736.000
0.059,-0.088,-0.137,2.395,1.943,0.435,532926835.000
0.057,-0.087,-0.134,2.430,1.940,0.426,532926935.000
0.059,-0.088,-0.140,2.382,1.934,0.462,532927037.000
0.055,-0.086,-0.139,2.410,1.984,0.444,532927136.000
0.057,-0.089,-0.142,2.388,1.939,0.444,532927236.000
0.057,-0.084,-0.142,2.432,1.963,0.435,532927336.000
