0.039,-0.096,-0.077,2.553,1.993,0.204,530991000.000
0.037,-0.094,-0.077,2.533,2.006,0.195,530991100.000
0.041,-0.094,-0.079,2.561,1.996,0.196,530991200.000
0.039,-0.096,-0.087,2.512,1.984,0.176,530991301.000
0.037,-0.097,-0.082,2.518,1.989,0.185,530991400.000
0.039,-0.096,-0.089,2.526,1.976,0.176,530991500.000
0.041,-0.097,-0.082,2.519,2.012,0.186,530991600.000
0.039,-0.091,-0.079,2.584,1.961,0.195,530991700.000
0.041,-0.094,-0.087,2.507,1.995,0.195,530991800.000
0.037,-0.100,-0.084,2.517,2.029,0.177,530991900.000
0.041,-0.099,-0.082,2.490,1.988,0.204,530992000.000
0.037,-0.094,-0.077,2.547,2.030,0.195,530992101.000
0.041,-0.094,-0.079,2.548,1.972,0.195,530992200.000
0.039,-0.096,-0.079,2.567,1.985,0.204,530992300.000
0.039,-0.096,-0.087,2.540,1.984,0.177,530992401.000
0.037,-0.092,-0.089,2.563,2.013,0.176,530992501.000
0.037,-0.094,-0.079,2.561,2.022,0.195,530992600.000
0.037,-0.102,-0.082,2.502,2.013,0.195,530992700.000
0.035,-0.096,-0.077,2.525,2.018,0.204,530992800.000
0.035,-0.096,-0.084,2.539,1.994,0.176,530992901.000
0.037,-0.097,-0.092,2.546,2.004,0.186,530993001.000
0.041,-0.094,-0.089,2.548,1.987,0.195,530993101.000
0.037,-0.097,-0.084,2.532,1.981,0.185,530993201.000
0.037,-0.094,-0.077,2.561,2.006,0.195,530993300.000
0.037,-0.095,-0.082,2.547,2.013,0.167,530993401.000
0.039,-0.096,-0.082,2.526,1.976,0.204,530993500.000
0.041,-0.097,-0.082,2.532,1.988,0.186,530993600.000
0.037,-0.094,-0.074,2.588,1.990,0.195,530993700.000
0.039,-0.098,-0.082,2.525,2.001,0.195,530993801.000
0.037,-0.097,-0.084,2.518,2.005,0.186,530993901.000
0.037,-0.097,-0.087,2.546,2.021,0.186,530994000.000
0.037,-0.102,-0.082,2.502,2.013,0.195,530994101.000
0.039,-0.096,-0.084,2.554,1.993,0.177,530994200.000
0.039,-0.098,-0.089,2.525,2.000,0.195,530994301.000
0.039,-0.096,-0.082,2.540,2.001,0.177,530994401.000
0.035,-0.098,-0.084,2.538,2.018,0.167,530994500.000
0.039,-0.101,-0.079,2.509,1.985,0.186,530994600.000
0.037,-0.100,-0.077,2.544,2.030,0.177,530994700.000
0.037,-0.100,-0.087,2.517,1.997,0.176,530994800.000
0.037,-0.100,-0.084,2.517,2.029,0.204,530994901.000
0.037,-0.094,-0.079,2.561,2.022,0.195,530995000.000
0.037,-0.097,-0.084,2.505,2.029,0.186,530995100.000
0.039,-0.093,-0.084,2.541,1.992,0.186,530995200.000
0.039,-0.096,-0.084,2.540,2.017,0.177,530995300.000
0.039,-0.098,-0.077,2.524,2.017,0.195,530995400.000
0.039,-0.098,-0.077,2.538,1.993,0.195,530995500.000
0.033,-0.094,-0.082,2.533,2.014,0.194,530995601.000
0.037,-0.097,-0.087,2.504,1.997,0.158,530995700.000
0.039,-0.088,-0.079,2.599,2.009,0.177,530995801.000
0.041,-0.100,-0.089,2.490,1.987,0.177,530995900.000
0.042,-0.097,-0.084,2.533,1.955,0.186,530996000.000
0.035,-0.096,-0.079,2.539,2.010,0.176,530996101.000
0.037,-0.097,-0.082,2.532,2.013,0.186,530996200.000
0.039,-0.096,-0.084,2.526,1.992,0.177,530996300.000
0.039,-0.093,-0.082,2.555,2.001,0.186,530996400.000
0.039,-0.096,-0.084,2.554,1.993,0.177,530996501.000
0.042,-0.097,-0.089,2.519,1.963,0.186,530996600.000
0.041,-0.097,-0.082,2.532,1.988,0.186,530996700.000
0.039,-0.096,-0.087,2.554,2.008,0.177,530996800.000
0.039,-0.096,-0.087,2.540,1.984,0.177,530996901.000
0.041,-0.097,-0.084,2.519,1.979,0.186,530997000.000
0.039,-0.096,-0.082,2.553,1.977,0.177,530997101.000
0.039,-0.098,-0.077,2.510,1.993,0.167,530997200.000
0.037,-0.097,-0.087,2.518,2.021,0.158,530997300.000
0.039,-0.093,-0.089,2.555,2.000,0.158,530997401.000
0.042,-0.097,-0.087,2.519,1.947,0.186,530997500.000
0.037,-0.094,-0.084,2.534,2.005,0.195,530997601.000
0.044,-0.090,-0.077,2.557,1.967,0.195,530997701.000
0.037,-0.094,-0.077,2.533,2.006,0.195,530997802.000
0.035,-0.098,-0.089,2.525,2.025,0.195,530997901.000
0.039,-0.096,-0.082,2.526,1.976,0.176,530998002.000
