0.035,-0.090,-0.072,2.389,1.888,0.165,530839697.000
0.038,-0.094,-0.077,2.381,1.835,0.165,530839797.000
0.037,-0.089,-0.079,2.425,1.875,0.156,530839898.000
0.037,-0.092,-0.074,2.368,1.867,0.146,530839997.000
0.033,-0.089,-0.074,2.396,1.868,0.155,530840097.000
0.033,-0.089,-0.079,2.411,1.876,0.155,530840198.000
0.042,-0.089,-0.077,2.398,1.833,0.156,530840298.000
0.035,-0.093,-0.082,2.361,1.879,0.155,530840398.000
0.038,-0.089,-0.079,2.425,1.826,0.155,530840498.000
0.035,-0.093,-0.082,2.388,1.879,0.155,530840598.000
0.038,-0.092,-0.082,2.396,1.866,0.146,530840699.000
0.038,-0.092,-0.079,2.410,1.826,0.146,530840799.000
0.038,-0.092,-0.082,2.368,1.866,0.146,530840899.000
0.035,-0.088,-0.079,2.405,1.887,0.174,530840999.000
0.035,-0.088,-0.084,2.405,1.871,0.146,530841098.000
0.040,-0.093,-0.079,2.389,1.838,0.156,530841199.000
0.035,-0.090,-0.079,2.403,1.863,0.164,530841298.000
0.035,-0.090,-0.077,2.376,1.895,0.164,530841398.000
0.035,-0.093,-0.079,2.388,1.863,0.155,530841499.000
0.033,-0.089,-0.079,2.397,1.900,0.155,530841599.000
0.038,-0.092,-0.079,2.396,1.850,0.174,530841699.000
0.038,-0.092,-0.082,2.369,1.866,0.174,530841799.000
0.040,-0.093,-0.077,2.402,1.846,0.156,530841898.000
0.035,-0.090,-0.077,2.389,1.871,0.164,530841998.000
0.038,-0.086,-0.077,2.412,1.859,0.165,530842098.000
0.038,-0.092,-0.084,2.383,1.858,0.174,530842199.000
0.035,-0.093,-0.077,2.388,1.847,0.155,530842299.000
0.035,-0.093,-0.079,2.388,1.863,0.155,530842399.000
0.035,-0.088,-0.074,2.405,1.855,0.173,530842498.000
0.035,-0.090,-0.084,2.390,1.871,0.164,530842599.000
0.035,-0.088,-0.074,2.446,1.880,0.174,530842699.000
0.037,-0.092,-0.077,2.368,1.883,0.146,530842798.000
0.040,-0.088,-0.077,2.432,1.846,0.147,530842898.000
0.038,-0.094,-0.082,2.395,1.842,0.137,530842999.000
0.035,-0.093,-0.079,2.388,1.863,0.155,530843099.000
0.038,-0.089,-0.079,2.411,1.850,0.155,530843198.000
0.040,-0.090,-0.084,2.404,1.870,0.137,530843298.000
0.040,-0.090,-0.077,2.445,1.846,0.165,530843398.000
0.035,-0.090,-0.079,2.376,1.863,0.164,530843498.000
0.035,-0.093,-0.082,2.375,1.855,0.155,530843599.000
0.038,-0.089,-0.077,2.411,1.835,0.155,530843699.000
0.040,-0.088,-0.077,2.419,1.870,0.174,530843799.000
0.038,-0.092,-0.082,2.368,1.866,0.146,530843899.000
0.038,-0.089,-0.082,2.411,1.866,0.155,530843998.000
0.040,-0.093,-0.069,2.388,1.822,0.183,530844098.000
0.035,-0.088,-0.077,2.432,1.872,0.146,530844198.000
0.040,-0.088,-0.082,2.378,1.829,0.146,530844299.000
0.035,-0.090,-0.082,2.362,1.855,0.136,530844398.000
0.038,-0.094,-0.079,2.353,1.850,0.164,530844499.000
